City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,278.2,44,100,1.54,CA,1683313504
1,lompoc,34.6391,-120.4579,291.92,70,82,3.58,US,1683313589
2,waitangi,-43.9535,-176.5597,288.05,96,100,0.89,NZ,1683313589
3,edinburgh of the seven seas,-37.0676,-12.3116,287.95,71,100,7.93,SH,1683313590
4,adamstown,-25.066,-130.1015,296.28,75,100,8.68,PN,1683313590
5,port-aux-francais,-49.35,70.2167,280.36,82,92,13.97,TF,1683313590
6,greenwood,34.1668,-82.1165,295.53,62,0,2.06,US,1683313591
7,yellowknife,62.456,-114.3525,285.44,47,75,8.23,CA,1683313591
8,katsuura,35.1333,140.3,292.56,78,100,13.15,JP,1683313591
9,iskateley,67.6803,53.1512,268.96,96,99,3.05,RU,1683313591
10,colonia,50.9333,6.95,288.56,88,40,4.12,DE,1683313592
11,rongelap,11.1635,166.8941,300.26,78,10,7.1,MH,1683313592
12,isafjordur,66.0755,-23.124,280.17,93,75,0.0,IS,1683313592
13,bandiagara,14.3501,-3.6104,309.01,19,66,2.33,ML,1683313593
14,tazovsky,67.4667,78.7,269.46,92,87,6.01,RU,1683313593
15,hadibu,12.65,54.0333,302.36,78,97,3.45,YE,1683313593
16,hermanus,-34.4187,19.2345,286.37,91,1,0.99,ZA,1683313593
17,college,64.8569,-147.8028,280.82,49,40,2.57,US,1683313594
18,kenora,49.8167,-94.4337,287.69,44,75,8.23,CA,1683313497
19,nikolayevsk-on-amure,53.1406,140.73,269.91,96,99,1.05,RU,1683313528
20,santa terezinha,-29.9002,-50.0904,293.8,96,100,1.83,BR,1683313594
21,papatowai,-46.5619,169.4708,285.47,86,6,4.07,NZ,1683313595
22,vilyuysk,63.7553,121.6247,273.62,99,100,1.55,RU,1683313595
23,leh,34.1667,77.5833,269.59,60,6,1.0,IN,1683313573
24,qaqortoq,60.7167,-46.0333,275.81,66,37,1.64,GL,1683313596
25,bredasdorp,-34.5322,20.0403,286.85,84,0,0.57,ZA,1683313596
26,hawaiian paradise park,19.5933,-154.9731,298.88,74,100,2.06,US,1683313596
27,saipan,15.1355,145.701,299.54,100,75,5.81,MP,1683313596
28,wailua homesteads,22.0669,-159.378,298.39,69,40,7.2,US,1683313597
29,port mathurin,-19.6833,63.4167,299.29,78,15,7.19,MU,1683313597
30,bayganin,48.6947,55.8742,286.63,24,100,4.05,KZ,1683313597
31,thompson,55.7435,-97.8558,287.24,41,20,3.09,CA,1683313597
32,stanley,54.868,-1.6985,286.77,88,40,2.06,GB,1683313598
33,al bardiyah,31.7561,25.0865,290.64,77,99,8.13,LY,1683313598
34,ilulissat,69.2167,-51.1,272.16,86,100,1.03,GL,1683313598
35,sambava,-14.2667,50.1667,297.35,86,5,5.43,MG,1683313598
36,utrik,11.2278,169.8474,300.0,76,32,7.13,MH,1683313599
37,mersa matruh,31.3525,27.2453,292.26,72,40,4.12,EG,1683313599
38,invercargill,-46.4,168.35,284.91,87,5,3.98,NZ,1683313344
39,albany,42.6001,-73.9662,290.14,52,100,0.89,US,1683313339
40,christchurch,-43.5333,172.6333,289.26,77,100,3.09,NZ,1683313584
41,tiksi,71.6872,128.8694,261.59,86,95,8.61,RU,1683313600
42,nova sintra,14.8667,-24.7167,294.06,81,8,12.58,CV,1683313600
43,nar'yan-mar,67.6713,53.087,269.0,96,99,3.07,RU,1683313600
44,vadso,70.0744,29.7487,275.64,80,0,5.66,NO,1683313601
45,saint-joseph,-21.3667,55.6167,296.36,84,18,3.87,RE,1683313601
46,margaret river,-33.95,115.0667,284.22,71,82,5.52,AU,1683313601
